hostname,hd_name,default_flag,sy_snum,sy_pnum,st_age,,sy_dist,rv_flag,tran_flag,ast_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,,st_ageerr1,st_ageerr2,st_agelim,sy_refname,rastr,ra,decstr,dec,,,sy_disterr1,sy_disterr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,rowupdate,pl_pubdate,releasedate
LP 791-18,,1,1,2,500,"264,927,000.0",26.5,0,1,0,Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,"498,996,300","5,000","-5,000",0,"29,392",980,"-1,050",0,"2,310",250,-250,0,206,22,-22,0,,,,,,,,,,0,,,0,"2,35","0,59","-0,51",0,370,30,-30,0,0,M(6.1+/-0.7) V,"2960,00","55,00","-55,00",0,,,,-1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h02m45.72s,"1,656,904,843",-16d24m23.20s,"-164,064,445",,,"640,000","-638,000","106,440,000","230,000","-230,000",2019-11-01,2019-09,2019-11-07
HD 70642,HD 70642,1,1,1,919,"292,760,000.0",29.3,1,0,0,Published Confirmed,0,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,"212,454,000,000","1,465,000,000","-1,351,000,000",0,"3,318,000","22,000","-21,000",0,,,,,,,,,"63,343,519","572,094","-572,094",0,"199,300","1,800","-1,800",0,Msini,"175,000","44,000","-44,000",0,,,,,,,,,0,,"5732,00","23,00","-23,00",0,,733,-733,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h21m27.87s,"1,253,661,079",-39d42m16.00s,"-397,044,432",,,"276,000","-275,000","55,740,000","200,000","-200,000",2019-06-24,2018-08,2019-06-27
51 Eri,HD 29391,1,3,1,20,"297,575,000.0",29.8,0,0,1,Published Confirmed,0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,,,,,"13,200,000","200,000","-200,000",0,,,,,,,,,"63,566,000",,,0,"200,000",,,0,Mass,,,,,,,,,700,,,0,0,F0 IV,,,,,,6,-6,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,"694,007,424",-02d28m25.77s,"-24,738,245",,,"1,213,000","-1,203,000","45,370,000","240,000","-240,000",2019-07-08,2015-00,2015-08-14
HD 73583,HD 73583,1,1,2,480,"315,666,000.0",31.6,1,1,0,Published Confirmed,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract target=ref>Barrag&aacute;n et al. 2021</a>,"639,804,200",670,-620,0,"60,400","2,700","-2,600",0,"2,790",100,-100,0,249,9,-9,0,"1,020,000","340,000","-310,000",0,"3,209","1,070",-975,0,Mass,"90,000","90,000","-60,000",0,"43,30","5,30","-4,70",0,714,21,-20,0,0,K4 V,"4511,00","110,00","-110,00",0,,190,-190,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h38m45.19s,"1,296,883,026",-13d15m23.50s,"-132,565,267",,,"321,000","-320,000","69,480,000","240,000","-240,000",2022-03-16,2021-10,2022-03-16
HD 130322,HD 130322,0,1,1,350,"318,766,000.0",31.9,1,0,0,Published Confirmed,0,<a refstr=UDRY_ET_AL__2000 href=https://ui.adsabs.harvard.edu/abs/2000A&A...356..590U/abstract target=ref> Udry et al. 2000 </a>,"1,072,000,000","700,000","-700,000",0,"88,000",,,0,,,,,,,,,"32,418,660",,,0,"102,000",,,0,Msini,"44,000","18,000","-18,000",0,,,,,720,,,0,0,,"5330,00",,,0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h47m32.59s,"2,218,857,975",-00d16m55.48s,"-2,820,782",,,"729,000","-727,000","62,340,000","230,000","-230,000",2015-04-30,2000-04,2015-04-30
2MASS J01225093-2439505,,1,1,1,120,"338,281,000.0",33.8,0,0,0,Published Confirmed,0,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,,,,,"52,000,000","6,000,000","-6,000,000",0,,,,,,,,,"778,650,000","79,450,000","-79,450,000",0,"2,450,000","250,000","-250,000",0,Mass,,,,,,,,,,,,,0,M3.5 V,"3530,00","50,00","-50,00",0,,10,-10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h22m51.07s,"207,128,012",-24d39m52.61s,"-246,646,128",,,"864,000","-860,000","91,980,000","260,000","-260,000",2014-05-14,2013-09,2014-05-14
HR 2562,HD 50571,1,1,1,600,"340,071,000.0",34.0,0,0,0,Published Confirmed,0,<a refstr=KONOPACKY_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...829L...4K/abstract target=ref>Konopacky et al. 2016</a>,,,,,"20,300,000","300,000","-300,000",0,"12,442","1,233","-1,233",0,"1,110",110,-110,0,"953,490,000","476,745,000","-476,745,000",0,"3,000,000","1,500,000","-1,500,000",0,Mass,,,,,,,,,1200,100,-100,0,0,F5 V,,,,,,300,-300,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h50m01.03s,"1,025,042,716",-60d14m55.24s,"-602,486,775",,,"480,000","-478,000","50,200,000","160,000","-160,000",2016-09-06,2016-09,2016-09-08
HD 81040,HD 81040,0,1,1,730,"344,341,000.0",34.4,1,0,0,Published Confirmed,0,<a refstr=SOZZETTI_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006A&A...449..417S/abstract target=ref> Sozzetti et al. 2006 </a>,"100,170,000,000","700,000,000","-700,000,000",0,"1,940,000",,,0,,,,,,,,,"218,031,380","22,565,930","-22,565,930",0,"686,000","71,000","-71,000",0,Msini,"526,000","42,000","-42,000",0,,,,,,,,,0,G2/G3,"5700,00","50,00","-50,00",0,,100,-100,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h23m46.92s,"1,409,455,027",+20d21m52.59s,"203,646,078",,,"777,000","-773,000","61,590,000","210,000","-210,000",2018-04-25,2006-04,2015-04-16
HD 113337,HD 113337,0,1,2,150,"361,800,000.0",36.2,1,0,0,Published Confirmed,0,<a refstr=BORGNIET_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A..65B/abstract target=ref> Borgniet et al. 2014 </a>,"32,400,000,000","170,000,000","-330,000,000",0,"920,000","90,000","-90,000",0,,,,,,,,,"89,942,000","7,628,000","-7,628,000",0,"283,000","24,000","-24,000",0,Msini,"460,000","40,000","-40,000",0,,,,,,,,,0,F6 V,"6576,60","153,20","-149,70",0,,100,-50,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h01m46.52s,"1,954,438,496",+63d36m37.18s,"636,103,280",,,"565,000","-563,000","50,050,000","170,000","-170,000",2014-05-14,2014-01,2014-05-14
HD 18599,HD 18599,1,2,1,400,"385,653,000.0",38.6,1,1,0,Published Confirmed,0,<a refstr=DESIDERA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221007933D/abstract target=ref>Desidera et al. 2022</a>,"413,743,540",360,-370,0,"48,000",400,-400,0,"2,600",150,-130,0,232,13,-12,0,"2,410,000","710,000","-770,000",0,"7,583","2,234","-2,423",0,Mass,"340,000","70,000","-90,000",0,,,,,,,,,0,K2 V,"5145,00","50,00","-50,00",0,,100,-100,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h57m02.88s,"442,620,144",-56d11m30.73s,"-561,918,694",,,"366,000","-366,000","68,830,000","200,000","-200,000",2022-11-07,2022-10,2022-11-07
