hostname,hd_name,default_flag,sy_snum,sy_pnum,st_age,,sy_dist,rv_flag,tran_flag,ast_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,,st_ageerr1,st_ageerr2,st_agelim,sy_refname,rastr,ra,decstr,dec,,,sy_disterr1,sy_disterr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,rowupdate,pl_pubdate,releasedate
HD 285507,HD 285507,0,1,1,625,"450,293,000.0",45.0,1,0,0,Published Confirmed,0,<a refstr=QUINN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787...27Q/abstract target=ref> Quinn et al. 2014 </a>,"608,810,000","180,000","-180,000",0,,,,,,,,,,,,,"29,143,800","1,048,800","-1,048,800",0,"91,700","3,300","-3,300",0,Msini,"86,000","19,000","-19,000",0,,,,,,,,,0,K4.5 V,"4503,00","85,00","-61,00",0,,50,-50,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h07m01.36s,"617,556,630",+15d20m05.80s,"153,349,441",,,"2,440,000","-2,414,000","76,650,000","260,000","-260,000",2018-04-25,2014-05,2014-05-14
TOI-1860,,1,1,1,133,"458,640,000.0",45.9,0,1,0,Published Confirmed,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,"106,621,070",140,-140,0,"20,400",200,-200,0,"1,310",40,-40,0,117,4,-4,0,,,,,,,,,,,,,,,,,,1885,28,-28,0,0,G V,"5752,00","100,00","-100,00",0,,26,-26,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h05m49.62s,"2,264,567,308",+64d02m51.66s,"640,476,821",,,"648,000","-645,000","67,920,000","210,000","-210,000",2022-02-15,2022-02,2022-02-15
nu Oph,HD 163917,1,1,2,650,"462,107,000.0",46.2,1,0,0,Published Confirmed,0,<a refstr=QUIRRENBACH_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...624A..18Q/abstract target=ref>Quirrenbach et al. 2019</a>,"53,021,000,000","10,000,000","-10,000,000",0,"1,790,000",,,0,,,,,,,,,"705,773,298",,,0,"2,220,600",,,0,Mass,"124,000","3,000","-3,000",0,,,,,,,,,0,K0 III,"4886,00","42,00","-42,00",0,,170,-170,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h59m01.58s,"2,697,566,013",-09d46m26.88s,"-97,741,342",,,"17,331,300","-17,331,300","12,250,000","3,060,000","-3,060,000",2019-09-20,2019-04,2019-09-26
GU Psc,,1,1,1,100,"475,501,000.0",47.6,0,0,0,Published Confirmed,0,<a refstr=NAUD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...787....5N/abstract target=ref> Naud et al. 2014 </a>,,,,,"2,000,000,000","200,000,000","-200,000,000",0,"14,179","1,289","-1,289",0,"1,265",115,-115,0,"359,130,000","54,030,000","-54,030,000",0,"1,130,000","170,000","-170,000",0,Mass,,,,,,,,,1050,50,-50,0,0,M3,,,,,,30,-30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h12m35.16s,"181,464,850",+17d03m54.01s,"170,650,029",,,"1,649,000","-1,638,000","93,450,000","150,000","-150,000",2014-05-14,2014-05,2014-05-14
WASP-80,,0,1,1,200,"497,876,000.0",49.8,1,1,0,Published Confirmed,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,"310,000,000",,,0,"34,000",,,0,"10,650",,,0,950,,,0,"17,480,000",,,0,"55,000",,,0,Mass,0,,,0,,,,,800,,,0,0,K7-M0 V,"4150,00",,,0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h12m40.03s,"3,031,667,996",-02d08m39.97s,"-21,444,369",,,"1,160,500","-1,160,500","83,510,000","220,000","-220,000",2015-02-12,2015-04,2015-02-12
kap And,HD 222439,0,1,1,30,"500,177,000.0",50.0,0,0,0,Published Confirmed,0,<a refstr=CARSON_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...763L..32C/abstract target=ref> Carson et al. 2013 </a>,,,,,"61,000,000","50,000,000","-20,000,000",0,,,,,,,,,"406,810,000","63,560,000","-31,780,000",0,"1,280,000","200,000","-100,000",0,Mass,,,,,,,,,1680,30,-20,0,0,B9 IV,"10700,00","300,00","-300,00",0,,20,-10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h40m24.62s,"3,551,025,974",+44d20m01.86s,"443,338,511",,,"8,766,000","-8,474,000","45,710,000","3,540,000","-3,540,000",2014-05-16,2013-02,2014-05-16
AB Pic,HD 44627,1,1,1,30,"500,475,000.0",50.0,0,0,0,Published Confirmed,0,<a refstr=CHAUVIN_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...438L..29C/abstract target=ref> Chauvin et al. 2005 </a>,,,,,"260,000,000",,,0,,,,,,,,,"429,050,000","15,890,000","-15,890,000",0,"1,350,000","50,000","-50,000",0,Mass,,,,,,,,,,,,,0,K2 V,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h19m12.94s,"948,039,208",-58d03m14.83s,"-580,541,184",,,"735,000","-733,000","69,810,000","240,000","-240,000",2014-05-14,2005-08,2014-05-14
HIP 94235,,1,2,1,118,"585,146,000.0",58.5,0,1,0,Published Confirmed,0,<a refstr=ZHOU_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220411975Z/abstract target=ref>Zhou et al. 2022</a>,"771,305,700","2,100","-2,100",0,"78,700",560,-170,0,"3,000",320,-280,0,268,29,-25,0,"37,900,000",,,1,"119,247",,,1,Mass,"320,000","200,000","-200,000",0,,,,,1060,50,-50,0,0,G V,"5991,00","50,00","-50,00",0,,18,-16,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m57.87s,"2,877,411,441",-60d16m21.49s,"-602,726,358",,,"1,263,000","-1,258,000","68,810,000","270,000","-270,000",2022-05-09,2022-04,2022-05-09
TOI-712,,1,1,3,830,"586,212,000.0",58.6,1,1,0,Published Confirmed,0,<a refstr=VACH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...71V/abstract target=ref>Vach et al. 2022</a>,"953,136,100","1,800","-1,700",0,"79,280",960,-910,0,"2,049",12,-80,0,183,1,-7,0,,,,,,,,,,"540,000","260,000","-200,000",0,"22,60","4,10","-5,40",0,650,6,-6,0,0,K4.5 V,"4622,00","61,00","-59,00",0,,250,-280,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h11m44.67s,"929,361,063",-65d49m33.02s,"-658,258,386",,,"797,000","-795,000","83,130,000","230,000","-230,000",2022-08-29,2022-08,2022-08-29
HD 70573,HD 70573,1,1,1,102,"591,820,000.0",59.2,1,0,0,Published Confirmed,0,<a refstr=SETIAWAN_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...660L.145S/abstract target=ref>Setiawan et al. 2007</a>,"85,180,000,000","1,160,000,000","-1,160,000,000",0,"1,760,000","50,000","-50,000",0,,,,,,,,,"190,000,000","13,000,000","-13,000,000",0,"610,000","40,000","-40,000",0,Msini,"400,000","100,000","-100,000",0,,,,,,,,,0,G1-1.5 V,"5737,00","70,00","-70,00",0,,24,-24,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h22m49.90s,"1,257,079,153",+01d51m32.79s,"18,591,088",,,"1,565,000","-1,558,000","71,910,000","240,000","-240,000",2015-03-26,2007-05,2015-03-26
K2-136,,0,2,3,688,"592,474,000.0",59.2,0,1,0,Published Confirmed,0,<a refstr=CIARDI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...10C/abstract target=ref>Ciardi et al. 2018</a>,"1,730,770,000","130,000","-130,000",0,"117,280",480,-480,0,"3,030",530,-470,0,270,47,-42,0,,,,,,,,,,,,,,"11,90","3,70","-3,20",0,,,,,0,K5 V,"4364,00","70,00","-70,00",0,,63,-63,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h29m39.09s,"674,128,615",+22d52m57.24s,"228,825,674",,,"1,877,000","-1,865,000","83,680,000","190,000","-190,000",2017-11-09,2018-01,2017-11-09
K2-141,,0,1,2,740,"618,736,000.0",61.9,1,1,0,Published Confirmed,0,<a refstr=BARRAG_AACUTE_N_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...612A..95B/abstract target=ref>Barrag&aacute;n et al. 2018</a>,"28,032,260",130,-130,0,"7,160",550,-650,0,"1,540",100,-90,0,137,9,-8,0,"531,000","46,000","-46,000",0,"1,671",145,-145,0,Mass,0,,,0,,,,,2039,87,-48,0,0,K7 V,"4373,00","57,00","-57,00",0,,360,-360,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h23m40.09s,"3,509,170,464",-01d11m21.06s,"-11,891,827",,,"1,662,000","-1,654,000","84,010,000","230,000","-230,000",2018-01-16,2018-05,2018-01-18
2MASS J12073346-3932539,,1,1,1,8,"643,080,000.0",64.3,0,0,0,Published Confirmed,0,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,,,,,"55,000,000",,,0,,,,,,,,,"158,915,000","63,566,000","-63,566,000",0,"500,000","200,000","-200,000",0,Mass,,,,,,,,,1250,200,-200,0,0,M8,,,,,,4,-3,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h07m33.38s,"1,818,890,906",-39d32m54.38s,"-395,484,399",,,"6,569,000","-6,440,000","119,450,000","260,000","-260,000",2016-02-24,2004-10,2016-02-25
K2-233,,0,1,3,360,"675,062,000.0",67.5,0,1,0,Published Confirmed,0,<a refstr=DAVID_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..222D/abstract target=ref>David et al. 2018</a>,"2,436,620,000","210,000","-210,000",0,"152,700","2,000","-2,100",0,"2,640",110,-110,0,236,10,-10,0,,,,,,,,,,0,,,0,"12,90","1,40","-1,40",0,482,14,-13,0,0,K3,"4950,00","100,00","-100,00",0,,490,-140,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m55.18s,"2,304,799,011",-20d13m54.47s,"-202,317,975",,,"2,799,000","-2,775,000","83,750,000","230,000","-230,000",2018-04-25,2018-05,2018-04-26
2MASS J22362452+4751425,,1,1,1,120,"695,737,000.0",69.6,0,0,0,Published Confirmed,0,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,,,,,"230,000,000","20,000,000","-20,000,000",0,,,,,,,,,"397,287,500","47,674,500","-47,674,500",0,"1,250,000","150,000","-150,000",0,Mass,,,,,,,,,,,,,0,K7 V,"4045,00","35,00","-35,00",0,,10,-10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m24.62s,"3,391,025,931",+47d51m42.06s,"478,616,830",,,"1,592,000","-1,585,000","91,480,000","180,000","-180,000",2016-11-09,2017-01,2016-11-10
HAT-P-20,,0,1,1,800,"710,374,000.0",71.0,1,1,0,Published Confirmed,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,"290,000,000",,,0,"36,000",,,0,"9,750",,,0,870,,,0,"232,010,000",,,0,"730,000",,,0,Mass,0,,,0,,,,,950,,,0,0,K3 V,"4600,00",,,0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h27m39.94s,"1,119,164,295",+24d20m10.03s,"243,361,185",,,"1,994,000","-1,983,000","86,010,000","190,000","-190,000",2015-02-12,2015-04,2015-02-12
HD 47366,HD 47366,1,1,2,940,"843,552,000.0",84.4,1,0,0,Published Confirmed,0,<a refstr=MARSHALL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157....1M/abstract target=ref>Marshall et al. 2019</a>,"35,915,000,000","203,000,000","-234,000,000",0,"1,280,000","50,000","-60,000",0,,,,,,,,,"73,100,900","4,131,790","-5,720,940",0,"230,000","13,000","-18,000",0,Msini,"60,000","40,000","-40,000",0,,,,,,,,,0,,"4914,00","100,00","-100,00",0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h37m40.80s,"994,200,181",-12d59m08.37s,"-129,856,593",,,"4,560,000","-4,560,000","40,550,000","2,900,000","-2,900,000",2019-09-20,2019-01,2019-09-26
HD 95086,HD 95086,1,1,1,17,"862,279,000.0",86.2,0,0,0,Published Confirmed,0,<a refstr=RAMEAU_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779L..26R/abstract target=ref> Rameau et al. 2013 </a>,,,,,"55,700,000","2,500,000","-2,500,000",0,,,,,,,,,"158,900,000","63,600,000","-63,600,000",0,"500,000","200,000","-200,000",0,Mass,,,,,,,,,1000,200,-200,0,0,,,,,,,4,-4,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h57m02.90s,"1,642,621,032",-68d40m02.25s,"-686,672,917",,,"2,443,000","-2,431,000","67,890,000","210,000","-210,000",2014-05-14,2013-12,2014-05-14
WASP-43,,0,1,1,800,"867,467,000.0",86.7,1,1,0,Published Confirmed,0,<a refstr=SALZ_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..42S/abstract target=ref>Salz et al. 2015</a>,"80,000,000",,,0,"14,000",,,0,"10,420",,,0,930,,,0,"57,210,000",,,0,"180,000",,,0,Mass,0,,,0,,,,,1350,,,0,1,K7 V,"4400,00",,,0,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h19m37.96s,"1,549,081,869",-09d48m23.20s,"-98,064,431",,,"3,281,000","-3,257,000","92,670,000","260,000","-260,000",2015-02-12,2015-04,2015-02-12
TYC 8998-760-1,,1,1,2,17,"946,177,000.0",94.6,0,0,0,Published Confirmed,0,<a refstr=BOHN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492..431B/abstract target=ref>Bohn et al. 2020</a>,,,,,"162,000,000",,,0,,,,,,,,,"444,962,000","95,349,000","-95,349,000",0,"1,400,000","300,000","-300,000",0,Mass,,,,,,,,,,,,,0,K3 IV,"4573,00","10,00","-10,00",0,,1,-1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h25m12.03s,"2,013,001,096",-64d56m20.96s,"-649,391,566",,,"2,844,000","-2,828,000","83,920,000","270,000","-270,000",2020-03-26,2020-02,2020-04-02
HD 114082,HD 114082,1,1,1,15,"953,906,000.0",95.4,1,1,0,Published Confirmed,0,<a refstr=ZAKHOZHAY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221108294Z/abstract target=ref>Zakhozhay et al. 2022</a>,"10,975,000,000","40,000,000","-37,000,000",0,"510,900","8,100","-8,300",0,"11,209",336,-336,0,"1,000",30,-30,0,"254,262,726","31,782,841","-31,782,841",0,"800,000","100,000","-100,000",0,Mass,"395,000","37,000","-39,000",0,,,,,,,,,0,F3 V,"6651,00","35,00","-35,00",0,,6,-6,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h09m16.11s,"1,973,171,237",-60d18m30.36s,"-603,084,347",,,"4,518,000","-4,476,000","71,630,000","310,000","-310,000",2022-11-29,2022-11,2022-12-02
KELT-24,HD 93148,1,1,1,780,"965,173,000.0",96.5,1,1,0,Published Confirmed,0,<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..197R/abstract target=ref>Rodriguez et al. 2019</a>,"555,149,260",810,-800,0,"69,690",870,-960,0,"14,258",235,-235,0,"1,272",21,-21,0,"164,635,940","6,674,430","-6,992,260",0,"518,000","21,000","-22,000",0,Mass,"77,000","24,000","-25,000",0,"750,90","31,60","-30,90",0,1459,16,-16,0,0,,"6509,00","50,00","-49,00",0,,610,-420,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h47m38.17s,"1,619,090,273",+71d39m20.62s,"716,557,270",,,"3,132,000","-3,113,000","71,540,000","210,000","-210,000",2019-09-06,2019-11,2019-09-12
HR 5471,,1,2,1,15,"980,935,000.0",98.1,0,0,0,Published Confirmed,0,<a refstr=JANSON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Natur.600..231J/abstract target=ref>Janson et al. 2021</a>,"179,000,000,000,000","83,000,000,000,000","-83,000,000,000,000",0,"556,000,000","17,000,000","-17,000,000",0,,,,,,,,,"346,432,964","50,852,545","-50,852,545",0,"1,090,000","160,000","-160,000",0,Mass,"400,000",,,1,,,,,,,,,0,B2.5 V,,,,,,2,-2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h41m57.55s,"2,204,897,992",-37d47m37.08s,"-377,936,323",,,"67,875,000","-59,734,000","44,870,000","260,000","-260,000",2022-01-24,2021-12,2022-01-24
TOI-251,,1,1,1,180,"995,230,000.0",99.5,0,1,0,Published Confirmed,0,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,"493,777,000","2,800","-2,900",0,"57,410",230,-170,0,"2,740",180,-180,0,244,16,-16,0,"31,783,000",,,1,"100,000",,,1,Mass,0,,,0,,,,,,,,,0,,"5875,00","100,00","-190,00",0,,140,-140,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h32m14.90s,"3,530,620,655",-37d15m21.11s,"-372,558,629",,,"4,374,000","-4,336,000","84,260,000","270,000","-270,000",2020-12-10,2021-01,2020-12-17
TOI-1749,,1,1,3,800,"995,561,000.0",99.6,0,1,0,Published Confirmed,0,<a refstr=FUKUI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..167F/abstract target=ref>Fukui et al. 2021</a>,"238,839,000","31,000","-66,000",0,"29,100",500,-500,0,"1,390",210,-190,0,124,19,-17,0,"5,700,000",,,1,"17,934",,,1,Mass,"140,000",,,1,,,,,831,18,-18,0,0,M0 V,"3985,00","55,00","-55,00",0,,,,-1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h50m56.93s,"2,827,372,281",+64d25m10.08s,"644,194,660",,,"1,172,000","-1,172,000","102,700,000","190,000","-190,000",2021-07-26,2021-10,2021-07-26
WASP-189,HD 133112,1,1,1,730,"997,310,000.0",99.7,1,1,0,Published Confirmed,0,<a refstr=LENDL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...643A..94L/abstract target=ref>Lendl et al. 2020</a>,"272,403,300",,,0,"50,530",980,-980,0,"18,147",235,-235,0,"1,619",21,-21,0,"63,247,853","5,085,255","-4,449,598",0,"199,000","16,000","-14,000",0,Mass,0,,,0,,,,,3353,27,-34,0,0,,"8000,00","80,00","-80,00",0,,130,-130,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h02m44.82s,"2,256,867,320",-03d01m53.35s,"-30,314,874",,,"7,540,000","-7,432,000","60,600,000","210,000","-210,000",2022-03-16,2020-11,2022-03-16
TOI-1227,,1,1,1,11,"1,006,410,000.0",100.6,0,1,0,Published Confirmed,0,<a refstr=MANN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..156M/abstract target=ref>Mann et al. 2022</a>,"2,736,397,000","11,000","-11,000",0,"88,600","5,400","-5,700",0,"9,572",751,-583,0,854,67,-52,0,,,,,,,,,,,,,,"3,21","0,38","-0,36",0,,,,,0,M4.5V-M5V,"3072,00","74,00","-74,00",0,,2,-2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h27m04.17s,"1,867,673,635",-72d27m06.66s,"-724,518,501",,,"5,730,000","-5,660,000","110,340,000","210,000","-210,000",2022-03-28,2022-04,2022-03-28
HD 110014,HD 110014,1,1,1,950,"1,007,580,000.0",100.8,1,0,0,Published Confirmed,0,<a refstr=DE_MEDEIROS_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A%26A...504..617D/abstract target=ref> de Medeiros et al. 2009 </a>,"83,547,700,000","604,000,000","-604,000,000",0,"2,140,000","30,000","-30,000",0,,,,,,,,,"352,459,000","31,782,000","-31,782,000",0,"1,109,000","100,000","-100,000",0,Msini,"462,000","69,000","-69,000",0,,,,,,,,,0,K2 III,"4445,00","70,00","-70,00",0,,400,-400,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h39m14.69s,"1,898,111,935",-07d59m44.41s,"-79,956,702",,,"19,731,500","-19,731,500","20,110,000","3,120,000","-3,120,000",2014-05-14,2009-09,2014-05-14
TOI-2260,,1,1,1,321,"1,012,510,000.0",101.3,0,1,0,Published Confirmed,0,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,"35,247,280",470,-470,0,"9,700",100,-100,0,"1,620",130,-130,0,145,12,-12,0,,,,,,,,,,,,,,,,,,2609,86,-86,0,0,G V,"5534,00","100,00","-100,00",0,,96,-96,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h30m40.08s,"2,476,669,998",+49d02m48.44s,"490,467,891",,,"2,840,000","-2,830,000","86,840,000","160,000","-160,000",2022-02-15,2022-02,2022-02-15
HD 106906,HD 106906,1,1,1,13,"1,030,290,000.0",103.0,0,0,0,Published Confirmed,0,<a refstr=BAILEY_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780L...4B/abstract target=ref> Bailey et al. 2014 </a>,,,,,"650,000,000",,,0,,,,,,,,,"349,600,000","63,600,000","-63,600,000",0,"1,100,000","200,000","-200,000",0,Mass,,,,,,,,,1800,100,-100,0,0,F5 V,"6516,00","165,00","-165,00",0,,2,-2,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h17m53.12s,"1,844,713,308",-55d58m32.09s,"-559,755,805",,,"4,610,000","-4,570,000","66,830,000","260,000","-260,000",2014-05-14,2014-01,2014-05-14
HD 110082,HD 110082,1,2,1,250,"1,050,960,000.0",105.1,1,1,0,Published Confirmed,0,<a refstr=TOFFLEMIRE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..171T/abstract target=ref>Tofflemire et al. 2021</a>,"1,018,271,000","4,000","-4,000",0,"113,000","9,000","-13,000",0,"3,200",100,-100,0,285,9,-9,0,,,,,,,,,,"200,000","200,000","-100,000",0,,,,,,,,,0,F8 V,"6200,00","100,00","-100,00",0,,50,-70,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h50m21.43s,"1,925,892,855",-88d07m16.00s,"-881,211,107",,,"2,660,000","-2,660,000","80,020,000","310,000","-310,000",2021-02-25,2021-04,2021-03-04
K2-284,,1,1,1,120,"1,072,720,000.0",107.3,0,1,0,Published Confirmed,0,<a refstr=DAVID_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..302D/abstract target=ref>David et al. 2018</a>,"479,506,900","8,600","-8,600",0,"47,710",250,-250,0,"2,780",140,-120,0,248,12,-11,0,,,,,,,,,,"78,000","108,000","-55,000",0,"42,60","1,80","-1,80",0,653,16,-14,0,0,,"4140,00","50,00","-50,00",0,,640,-20,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h16m33.79s,"791,407,971",+20d15m17.65s,"202,549,034",,,"5,020,000","-4,970,000","100,580,000","180,000","-180,000",2018-11-12,2018-12,2018-11-15
V1298 Tau,,0,1,4,23,"1,081,990,000.0",108.2,0,1,0,Published Confirmed,0,<a refstr=DAVID_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...79D/abstract target=ref>David et al. 2019</a>,"2,413,861,000","102,000","-90,000",0,"168,700","2,500","-2,600",0,"10,220",550,-590,0,911,49,-53,0,,,,,,,,,,"112,000","133,000","-83,000",0,"33,20","4,50","-4,20",0,668,22,-22,0,0,K0,"4970,00","120,00","-120,00",0,,4,-4,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h05m19.60s,"613,316,540",+20d09m25.31s,"201,570,318",,,"7,040,000","-6,960,000","80,940,000","210,000","-210,000",2019-10-18,2019-08,2019-06-27
